,batting_average,batting_strike_rate,bowling_average,catches,economy,fifties,fours,fourw_haul,highest,hundreds,innings,matches,notout,player_id,player_name,player_nationality,runouts,runs,season,sixes,stumping,wickets
91,0,0,26.00,0,8.66,0,0,0,0*,0,0,1,0,23,Nuwan Kulasekara,Sri Lankan,0,0,2011,0,0,1
92,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Faf du Plessis,South African,0,0,2011,0,0,0
93,31.88,136.66,0,5,0,2,26,0,66*,0,11,13,2,1,MS Dhoni,Indian,2,287,2010,8,6,0
94,0,0,44.50,1,11.12,0,0,0,0*,0,0,3,0,5,Joginder Sharma,Indian,0,0,2010,0,0,2
95,35.23,156.84,0,11,0,2,36,0,127,1,15,15,2,7,Murali Vijay,Indian,1,458,2010,26,0,0
96,7.50,75.00,22.53,1,6.10,0,2,0,11*,0,6,12,2,8,Ravichandran Ashwin,Indian,1,30,2010,0,0,13
97,31.00,121.96,0,8,0,1,27,0,53,0,17,17,5,1,MS Dhoni,Indian,1,372,2015,17,3,0
98,0,0,20.27,2,7.19,0,0,0,0*,0,0,10,0,1090,Ishwar Pandey,Indian,0,0,2015,0,0,11
99,17.33,162.50,22.80,3,5.84,0,6,0,23,0,6,14,3,8,Ravichandran Ashwin,Indian,0,52,2015,1,0,10
100,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,Andrew Tye,Australian,0,0,2015,0,0,0
101,18.85,104.76,30.00,13,7.73,0,7,1,24,0,12,17,5,9,Ravindra Jadeja,Indian,2,132,2015,3,0,11
102,33.53,155.71,0,2,0,2,51,0,100*,1,14,14,1,202,Brendon McCullum,New Zealander,0,436,2015,23,0,0
103,0,0,17.75,0,9.46,0,0,0,0*,0,0,4,0,115,Ashish Nehra,Indian,0,0,2014,0,0,8
104,0,33.33,19.65,3,8.39,0,0,1,1*,0,1,16,1,1107,Mohit Sharma,Indian,0,1,2014,0,0,23
105,0,0,0,0,0,0,0,0,0,0,0,0,0,277,Ronit More,Indian,0,0,2014,0,0,0
106,0,0,0,1,10.71,0,0,0,0*,0,0,2,0,53,Pawan Negi,Indian,0,0,2014,0,0,0
107,27.54,128.93,0,13,0,2,26,0,54*,0,12,15,1,24,Faf du Plessis,South African,1,303,2014,7,0,0
108,0,266.66,0,0,0,0,0,0,8*,0,1,1,1,25,Dwayne Bravo,West Indian,0,8,2014,1,0,0
109,58.00,123.40,19.00,1,13.41,1,8,0,50*,0,4,5,2,186,David Hussey,Australian,0,116,2014,6,0,2
110,28.00,108.28,0,3,0,1,23,0,57,0,9,15,2,12,Subramaniam Badrinath,Indian,0,196,2012,2,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Sudeep Tyagi,Indian,0,0,2012,0,0,0
112,25.94,135.69,52.50,11,7.50,1,36,0,73,0,18,19,1,14,Suresh Raina,Indian,0,441,2012,19,0,2
113,0,0,27.00,1,8.67,0,0,0,0*,0,0,5,0,15,Yo Mahesh,Indian,0,0,2012,0,0,3
114,6.00,42.85,0,0,0,0,0,0,6,0,1,4,0,16,Wriddhiman Saha,Indian,0,6,2012,0,0,0
115,0,0,16.64,0,6.85,0,0,0,0*,0,0,9,0,17,Ben Hilfenhaus,Australian,0,0,2012,0,0,14
116,3.00,60.00,19.62,2,8.72,0,0,0,3,0,1,6,0,18,Doug Bollinger,Australian,1,3,2012,0,0,8
117,11.00,183.33,26.16,3,7.85,0,1,0,6*,0,2,6,1,25,Dwayne Bravo,West Indian,0,11,2011,1,0,6
118,23.00,135.29,25.46,4,8.48,0,8,0,30*,0,13,15,7,26,Albie Morkel,South African,0,138,2011,8,0,15
119,0,0,41.50,0,8.73,0,0,0,0*,0,0,5,0,307,Tim Southee,New Zealander,0,0,2011,0,0,4
120,41.90,162.89,0,15,0,4,32,0,67*,0,16,18,5,1,MS Dhoni,Indian,2,461,2013,25,2,0
121,7.00,87.50,26.73,5,8.02,0,0,0,7*,0,6,16,4,836,Chris Morris,South African,0,14,2013,0,0,15
