,batting_average,batting_strike_rate,bowling_average,catches,economy,fifties,fours,fourw_haul,highest,hundreds,innings,matches,notout,player_id,player_name,player_nationality,runouts,runs,season,sixes,stumping,wickets
172,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Ben Hilfenhaus,Australian,0,0,2013,0,0,0
173,0,33.33,35.00,0,8.75,0,0,0,2*,0,1,2,1,1106,Ankit Rajpoot,Indian,0,2,2013,0,0,1
174,0.00,0.00,16.30,2,6.43,0,0,0,0*,0,2,15,1,1107,Mohit Sharma,Indian,1,0,2013,0,0,20
175,52.35,129.50,0,10,0,6,81,0,95,0,17,17,3,20,Michael Hussey,Australian,1,733,2013,17,0,0
176,0,60.00,0,0,0,0,0,0,3*,0,1,1,1,153,Arun Karthik,Indian,0,3,2010,0,0,0
177,24.75,151.14,36.81,3,8.49,1,10,0,62,0,11,14,3,26,Albie Morkel,South African,1,198,2010,13,0,11
178,0,0,0,0,0,0,0,0,0,0,0,0,0,351,Makhaya Ntini,South African,0,0,2010,0,0,0
179,21.62,124.01,0,6,0,1,37,0,93,0,16,16,0,352,Matthew Hayden,Australian,2,346,2010,16,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,3297,Hemang Badani,Indian,0,0,2010,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,0,293,Jacob Oram,New Zealander,0,0,2010,0,0,0
182,2.00,33.33,92.00,1,11.50,0,0,0,2,0,1,3,0,40,Manpreet Gony,Indian,0,2,2010,0,0,1
183,18.00,91.13,0,0,0,1,6,0,57,0,4,4,0,44,Parthiv Patel,Indian,0,72,2010,2,2,0
184,52.00,144.81,0,5,0,5,60,0,89,0,12,12,1,352,Matthew Hayden,Australian,1,572,2009,22,0,0
185,41.50,127.20,0,4,0,2,22,0,58*,0,13,14,5,1,MS Dhoni,Indian,0,332,2009,9,4,0
186,0,0,0,0,0,0,0,0,0,0,0,0,0,354,Vidyut Sivaramakrishnan,Indian,0,0,2009,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,355,Palani Amarnath,Indian,0,0,2009,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,3268,Viraj Kadbe,Indian,0,0,2009,0,0,0
189,20.00,111.11,28.50,0,8.14,0,0,0,16*,0,2,4,1,5,Joginder Sharma,Indian,0,20,2009,1,0,2
190,0,0,0,0,0,0,0,0,0,0,0,0,0,49,Irfan Pathan,Indian,0,0,2015,0,0,0
191,1.00,14.28,20.40,3,7.24,0,0,1,1*,0,4,16,3,115,Ashish Nehra,Indian,1,1,2015,0,0,22
192,14.50,158.90,42.00,4,8.40,0,10,0,36,0,9,10,1,53,Pawan Negi,Indian,1,116,2015,5,0,6
193,0,0,0,0,0,0,0,0,0,0,0,0,0,118,Eklavya Dwivedi ,Indian,0,0,2015,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,Baba Aparajith,Indian,0,0,2015,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,124,Mithun Manhas,Indian,0,0,2015,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,126,Rahul Sharma,Indian,0,0,2015,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,3269,Suresh Kumar,Indian,0,0,2008,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Ravichandran Ashwin,Indian,0,0,2008,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Shadab Jakati,Indian,0,0,2008,0,0,0
200,1.00,14.28,0,0,0,0,0,0,1,0,1,1,0,11,Srikkanth Anirudha,Indian,0,1,2008,0,0,0
201,32.00,147.69,0,5,0,2,21,0,64,0,11,16,5,12,Subramaniam Badrinath,Indian,2,192,2008,8,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Sudeep Tyagi,Indian,0,0,2008,0,0,0
203,38.27,142.22,30.00,10,9.00,3,35,0,55*,0,14,16,3,14,Suresh Raina,Indian,2,421,2008,18,0,1
204,84.00,168.00,0,2,0,0,12,0,116*,1,3,4,1,20,Michael Hussey,Australian,0,168,2008,11,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,R Karthikeyan,Indian,0,0,2013,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0,277,Ronit More,Indian,0,0,2013,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Nuwan Kulasekara,Sri Lankan,0,0,2013,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Faf du Plessis,South African,0,0,2013,0,0,0
209,4.00,44.44,71.00,0,10.14,0,0,0,4*,0,2,2,1,921,Ben Laughlin,Australian,0,4,2013,0,0,1
210,15.12,114.15,15.53,14,7.95,0,11,1,23*,0,12,18,4,25,Dwayne Bravo,West Indian,1,121,2013,3,0,32
211,1.00,50.00,21.93,3,6.85,0,0,0,1,0,1,12,0,241,Muttiah Muralitharan,Sri Lankan,0,1,2010,0,0,15
212,14.66,94.62,26.60,5,8.58,0,5,0,41*,0,8,11,2,293,Jacob Oram,New Zealander,1,88,2009,4,0,5
213,15.00,89.55,0,2,0,0,4,0,31,0,4,4,0,7,Murali Vijay,Indian,0,60,2009,2,0,0
214,8.00,53.33,6.50,2,3.25,0,1,0,8,0,1,2,0,8,Ravichandran Ashwin,Indian,0,8,2009,0,0,2
215,6.50,185.71,34.40,2,10.11,0,0,0,7,0,3,7,1,40,Manpreet Gony,Indian,0,13,2009,2,0,5
216,31.00,116.98,52.50,4,9.54,0,5,0,24,0,3,3,1,392,Andrew Flintoff,English,0,62,2009,2,0,2
217,0.00,0.00,26.00,1,8.66,0,0,0,0*,0,1,9,0,87,Lakshmipathy Balaji,Indian,0,0,2008,0,0,11
218,0,0,0,0,0,0,0,0,0,0,0,0,0,153,Arun Karthik,Indian,0,0,2008,0,0,0
219,34.42,147.85,23.47,3,8.31,1,18,1,71,0,10,13,3,26,Albie Morkel,South African,0,241,2008,14,0,17
220,21.77,119.51,0,2,0,0,27,0,45,0,10,10,1,350,Stephen Fleming,New Zealander,0,196,2008,3,0,0
221,11.00,61.11,34.57,1,6.91,0,2,1,11,0,2,9,1,351,Makhaya Ntini,South African,2,11,2008,0,0,7
222,63.00,144.27,0,0,0,2,24,0,81,0,4,4,1,352,Matthew Hayden,Australian,0,189,2008,6,0,0
223,15.33,124.32,22.71,2,6.62,0,2,0,23,0,3,8,0,26,Albie Morkel,South African,2,46,2013,3,0,7
224,0,0,39.50,3,7.96,0,0,0,0*,0,1,5,1,237,Dirk Nannes,Australian,0,0,2013,0,0,4
225,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,Imtiaz Ahmed,Indian,0,0,2013,0,0,0
226,0,0,84.00,3,8.40,0,0,0,0*,0,0,6,0,1075,Jason Holder,West Indian,0,0,2013,0,0,2
227,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,Vijay Shankar,Indian,0,0,2013,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,Baba Aparajith,Indian,0,0,2013,0,0,0
229,2.00,28.57,20.00,1,7.50,0,0,0,1*,0,2,2,1,393,Thilan Thushara,Sri Lankan,0,2,2009,0,0,3
230,20.00,133.33,16.69,3,7.48,0,3,2,13,0,2,9,1,10,Shadab Jakati,Indian,0,20,2009,0,0,13
231,19.66,107.92,0,5,0,1,20,0,59*,0,11,14,2,12,Subramaniam Badrinath,Indian,0,177,2009,4,0,0
232,15.77,112.69,0,3,0,0,19,0,36,0,9,9,0,44,Parthiv Patel,Indian,0,142,2009,2,0,0
233,5.33,69.56,0,4,17.29,0,0,0,8,0,3,5,0,353,Chamara Kapugedera,Sri Lankan,0,16,2008,0,0,0
234,18.12,133.02,22.00,1,11.00,1,21,0,54,0,8,9,0,354,Vidyut Sivaramakrishnan,Indian,0,145,2008,3,0,1
235,0,0,33.71,2,10.72,0,0,0,0*,0,0,6,0,355,Palani Amarnath,Indian,0,0,2008,0,0,7
236,18.00,150.00,49.66,3,9.31,0,1,0,13,0,3,4,2,293,Jacob Oram,New Zealander,0,18,2008,1,0,3
237,0.00,0,27.20,1,7.15,0,0,0,0*,0,2,8,1,13,Sudeep Tyagi,Indian,0,0,2009,0,0,5
238,31.00,140.90,23.42,7,5.92,2,37,0,98,0,14,14,0,14,Suresh Raina,Indian,1,434,2009,21,0,7
239,4.00,100.00,18.64,4,5.22,0,1,0,4,0,4,13,2,241,Muttiah Muralitharan,Sri Lankan,2,8,2009,0,0,14
240,22.50,115.38,0,0,0,0,7,0,30,0,2,3,0,19,George Bailey,Australian,0,45,2009,0,0,0
241,1.33,40.00,24.30,3,8.46,0,0,1,2*,0,4,13,1,87,Lakshmipathy Balaji,Indian,1,4,2009,0,0,13
242,0,0,0,0,0,0,0,0,0,0,0,0,0,153,Arun Karthik,Indian,0,0,2009,0,0,0
243,35.00,152.17,26.05,2,7.38,0,2,0,15*,0,5,16,4,40,Manpreet Gony,Indian,1,35,2008,3,0,17
244,27.45,101.68,0,6,0,2,42,0,54,0,13,13,2,44,Parthiv Patel,Indian,0,302,2008,3,0,0
245,0.00,0.00,36.72,4,6.96,0,0,0,0*,0,1,15,0,241,Muttiah Muralitharan,Sri Lankan,0,0,2008,0,0,11
246,24.25,138.57,24.92,1,8.10,0,8,0,21*,0,10,12,6,26,Albie Morkel,South African,1,97,2009,4,0,13
247,0,0,0,0,0,0,0,0,0,0,0,0,0,351,Makhaya Ntini,South African,0,0,2009,0,0,0
